Date : 2023-03-20 21:18:00
Directory : c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming
Total : 176 files,  63813 codes, 4315 comments, 16240 blanks, all 84368 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| LearnProgramming\wwwroot\lib\bootstrap\dist                                                                                                                              |         22 |     46,506 |      1,734 |     11,610 |     59,850 |
| LearnProgramming\wwwroot\lib\bootstrap\dist\css                                                                                                                          |         16 |     34,782 |        136 |      8,125 |     43,043 |
| LearnProgramming\wwwroot\lib\bootstrap\dist\js                                                                                                                           |          6 |     11,724 |      1,598 |      3,485 |     16,807 |
| LearnProgramming\wwwroot\lib\jquery                                                                                                                                      |          2 |      6,907 |      1,891 |      2,078 |     10,876 |
| LearnProgramming\wwwroot\lib\jquery-validation                                                                                                                           |          5 |      1,834 |        584 |        372 |      2,790 |
| LearnProgramming\wwwroot\lib\jquery-validation (Files)                                                                                                                   |          1 |         18 |          0 |          5 |         23 |
| LearnProgramming\wwwroot\lib\jquery-validation-unobtrusive                                                                                                               |          2 |        307 |         77 |         55 |        439 |
| LearnProgramming\wwwroot\lib\jquery-validation\dist                                                                                                                      |          4 |      1,816 |        584 |        367 |      2,767 |
| LearnProgramming\wwwroot\lib\jquery\dist                                                                                                                                 |          2 |      6,907 |      1,891 |      2,078 |     10,876 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                                                                                                 | language      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Commands\Login.cs                                                                 | C#            |         16 |          0 |          1 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Commands\Register.cs                                                              | C#            |         26 |          0 |          1 |         27 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\AuthDto.cs                                                                    | C#            |         10 |          0 |          2 |         12 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\LearningTopicsPostDto.cs                                              | C#            |         14 |          0 |          2 |         16 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\ProgrammingTaskPostDto.cs                                             | C#            |         15 |          0 |          2 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\ShippingInformationPostDto.cs                                         | C#            |         22 |          0 |          3 |         25 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\ShoppingCartItemPostDto.cs                                            | C#            |         12 |          0 |          2 |         14 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\SubTopicPostDto.cs                                                    | C#            |         13 |          0 |          3 |         16 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\SubmissionPostDto.cs                                                  | C#            |         13 |          0 |          2 |         15 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\SubTopicUpdateDto.cs                                                | C#            |         12 |          0 |          2 |         14 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\UserAvatarDto.cs                                                    | C#            |         12 |          0 |          2 |         14 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\UserPasswordDto.cs                                                  | C#            |         14 |          0 |          2 |         16 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\UserUpdateDto.cs                                                    | C#            |         16 |          0 |          2 |         18 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ErrorDto.cs                                                                   | C#            |          9 |          0 |          2 |         11 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\LearningTopicsDto.cs                                                          | C#            |         18 |          0 |          3 |         21 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\OrderDto.cs                                                                   | C#            |         11 |          0 |          2 |         13 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\OrderItemDto.cs                                                               | C#            |         11 |          0 |          2 |         13 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ProductDto.cs                                                                 | C#            |         21 |          0 |          2 |         23 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ProgrammingTaskDto.cs                                                         | C#            |         13 |          0 |          2 |         15 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ShoppingCartDto.cs                                                            | C#            |         27 |          0 |          3 |         30 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ShoppingCartItemDto.cs                                                        | C#            |         15 |          0 |          2 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\SubTopicDto.cs                                                                | C#            |         14 |          0 |          2 |         16 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\SubmissionDto.cs                                                              | C#            |         14 |          0 |          3 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\SubmissionUserDto.cs                                                          | C#            |         13 |          0 |          2 |         15 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\UserDto.cs                                                                    | C#            |         20 |          0 |          3 |         23 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IHashServ.cs                                                           | C#            |         14 |          0 |          4 |         18 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IJwtServ.cs                                                            | C#            |         14 |          0 |          2 |         16 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\ILearningTopicsRep.cs                                                  | C#            |         21 |          0 |          2 |         23 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IOrderItemRep.cs                                                       | C#            |         15 |          0 |          2 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IOrderRep.cs                                                           | C#            |         14 |          0 |          2 |         16 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IProductRep.cs                                                         | C#            |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IProgrammingTaskRep.cs                                                 | C#            |         17 |          0 |          2 |         19 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IShippingInformationRep.cs                                             | C#            |         15 |          0 |          2 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IShoppingCartItemRep.cs                                                | C#            |         16 |          0 |          2 |         18 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\ISubTopicsRep.cs                                                       | C#            |         18 |          0 |          3 |         21 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\ISubmissionRep.cs                                                      | C#            |         15 |          0 |          2 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IUserRep.cs                                                            | C#            |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\LearnProgramming.Core.csproj                                                      | XML           |         39 |          0 |          5 |         44 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\LearningTopic.cs                                                       | C#            |         17 |          0 |          2 |         19 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\Order.cs                                                               | C#            |         12 |          0 |          1 |         13 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\OrderItem.cs                                                           | C#            |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\Product.cs                                                             | C#            |         22 |          0 |          2 |         24 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\ProgrammingTask.cs                                                     | C#            |         20 |          0 |          2 |         22 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\ShippingInformation.cs                                                 | C#            |         24 |          0 |          2 |         26 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\ShoppingCartItem.cs                                                    | C#            |         17 |          0 |          2 |         19 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\SubTopic.cs                                                            | C#            |         15 |          0 |          2 |         17 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\Submission.cs                                                          | C#            |         16 |          0 |          3 |         19 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\TeacherAndStudent.cs                                                   | C#            |         14 |          0 |          1 |         15 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Entities\User.cs                                                                | C#            |         24 |          1 |          3 |         28 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Enums\AllRoles.cs                                                               | C#            |         14 |          0 |          2 |         16 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Enums\BookCover.cs                                                              | C#            |         13 |          0 |          2 |         15 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\Enums\Difficulty.cs                                                             | C#            |         16 |          0 |          2 |         18 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Domain\LearnProgramming.Domain.csproj                                                  | XML           |         36 |          0 |          4 |         40 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\LearningTopicsProfile.cs                                     | C#            |         20 |          0 |          2 |         22 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\OrderItemProfile.cs                                          | C#            |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\OrderProfile.cs                                              | C#            |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ProductProfile.cs                                            | C#            |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ProgrammingTask.cs                                           | C#            |         20 |          0 |          2 |         22 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ShippingInformationProfile.cs                                | C#            |         18 |          0 |          2 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\ShoppingCartItemProfile.cs                                   | C#            |         20 |          0 |          4 |         24 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\SubTopicsProfile.cs                                          | C#            |         20 |          0 |          2 |         22 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\SubmissionProfile.cs                                         | C#            |         21 |          0 |          2 |         23 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\AutoMapper\UserProfile.cs                                               | C#            |         21 |          0 |          2 |         23 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Database\DatabaseContext.cs                                             | C#            |         25 |          0 |          3 |         28 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Database\DesignTimeDbContextFactory.cs                                  | C#            |         25 |          0 |          2 |         27 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\LearnProgramming.Infrastructure.csproj                                  | XML           |         45 |          0 |          6 |         51 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230131194908_InitDatabase.Designer.cs                      | C#            |         65 |          1 |         18 |         84 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230131194908_InitDatabase.cs                               | C#            |         50 |          0 |          5 |         55 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205161316_fixedUser.Designer.cs                         | C#            |         71 |          1 |         20 |         92 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205161316_fixedUser.cs                                  | C#            |         32 |          0 |          6 |         38 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205180255_fixedSexNullable.Designer.cs                  | C#            |         69 |          1 |         19 |         89 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230205180255_fixedSexNullable.cs                           | C#            |         24 |          0 |          4 |         28 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230207164322_addedAvatarIntoUser.Designer.cs               | C#            |         72 |          1 |         20 |         93 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230207164322_addedAvatarIntoUser.cs                        | C#            |         23 |          0 |          4 |         27 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230211165337_addedLearningTopics.Designer.cs               | C#            |         94 |          1 |         29 |        124 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230211165337_addedLearningTopics.cs                        | C#            |         37 |          0 |          4 |         41 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230212125855_fixedLearningTopics.Designer.cs               | C#            |         94 |          1 |         29 |        124 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230212125855_fixedLearningTopics.cs                        | C#            |         14 |          0 |          6 |         20 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213104958_changedRoleToString.Designer.cs               | C#            |        181 |          1 |         60 |        242 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213104958_changedRoleToString.cs                        | C#            |        103 |          0 |         10 |        113 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213105900_removedAvatarFromUser.Designer.cs             | C#            |        178 |          1 |         59 |        238 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213105900_removedAvatarFromUser.cs                      | C#            |         23 |          0 |          4 |         27 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213174154_changedReleaseDate.Designer.cs                | C#            |        182 |          1 |         60 |        243 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230213174154_changedReleaseDate.cs                         | C#            |         39 |          0 |          6 |         45 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230215172918_Changed column names.Designer.cs              | C#            |        186 |          1 |         61 |        248 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230215172918_Changed column names.cs                       | C#            |         86 |          0 |         18 |        104 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230222173923_removedSex.Designer.cs                        | C#            |        183 |          1 |         60 |        244 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230222173923_removedSex.cs                                 | C#            |         23 |          0 |          4 |         27 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301205434_addedProduct.Designer.cs                      | C#            |        263 |          1 |         91 |        355 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301205434_addedProduct.cs                               | C#            |        168 |          0 |         16 |        184 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301214243_changedShoppingCartName.Designer.cs           | C#            |        263 |          1 |         91 |        355 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230301214243_changedShoppingCartName.cs                    | C#            |         90 |          0 |         10 |        100 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304130021_addedSubmissionsAndOther.Designer.cs          | C#            |        337 |          1 |        117 |        455 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304130021_addedSubmissionsAndOther.cs                   | C#            |        178 |          0 |         28 |        206 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304164950_fixedLearningTopic.Designer.cs                | C#            |        331 |          1 |        114 |        446 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230304164950_fixedLearningTopic.cs                         | C#            |         41 |          0 |          8 |         49 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230305124556_addedBookCoverEnum.Designer.cs                | C#            |        330 |          1 |        114 |        445 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230305124556_addedBookCoverEnum.cs                         | C#            |         30 |          0 |          4 |         34 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230307162808_Added programming task entity.Designer.cs     | C#            |        338 |          1 |        118 |        457 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230307162808_Added programming task entity.cs              | C#            |         91 |          0 |          9 |        100 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230314183733_removedPicFromLearningTopics.Designer.cs      | C#            |        335 |          1 |        117 |        453 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230314183733_removedPicFromLearningTopics.cs               | C#            |         23 |          0 |          4 |         27 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230320185023_addedTeacherAndStudentRelatioship.Designer.cs | C#            |        359 |          1 |        126 |        486 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\20230320185023_addedTeacherAndStudentRelatioship.cs          | C#            |         59 |          0 |         10 |         69 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Migrations\DatabaseContextModelSnapshot.cs                              | C#            |        357 |          1 |        126 |        484 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\LearningTopicsRepository.cs                                | C#            |         94 |          0 |         18 |        112 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\OrderItemRepository.cs                                     | C#            |         34 |          0 |          9 |         43 |
| c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Infrastructure\Repositories\OrderRepository.cs                                         | C#            |         30 |          0 |          6 |         36 |
